"filename", "language", "Markdown", "Image", "CSS", "XML", "JavaScript", "JSON", "Pug", "Environment Variables", "YAML", "comment", "blank", "total"
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/views/layout.pug", "Pug", 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 10, 56
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/views/mixins/_flight.pug", "Pug", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/views/ticketForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 2, 24
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/webpack.config.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 28, 9, 83
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/CODE_OF_CONDUCT.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 131
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/app.js", "JavaScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 33, 22, 142
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/controllers/authController.js", "JavaScript", 0, 0, 0, 0, 131, 0, 0, 0, 0, 49, 21, 201
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/controllers/flightsController.js", "JavaScript", 0, 0, 0, 0, 136, 0, 0, 0, 0, 12, 11, 159
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/controllers/jwtController.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 15, 59
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/controllers/ticketController.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/controllers/userController.js", "JavaScript", 0, 0, 0, 0, 239, 0, 0, 0, 0, 17, 40, 296
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/handlers/errorHandlers.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 29, 7, 77
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/handlers/generateKeyPair.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/handlers/mail.js", "JavaScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/handlers/passport.js", "JavaScript", 0, 0, 0, 0, 73, 0, 0, 0, 0, 40, 18, 131
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/helpers.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 11, 48
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/models/Card.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/models/User.js", "JavaScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 7, 70
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/package-lock.json", "JSON", 0, 0, 0, 0, 0, 10699, 0, 0, 0, 0, 1, 10700
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/package.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_blogs.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 112
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_dashboard.css", "CSS", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 6, 56
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_flashes.css", "CSS", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 84
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_flights.css", "CSS", 0, 0, 77, 0, 0, 0, 0, 0, 0, 3, 5, 85
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_forms.css", "CSS", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 2, 65
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_helpers.css", "CSS", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 8, 103
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_inner.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_nav.css", "CSS", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 67
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_normalize.css", "CSS", 0, 0, 207, 0, 0, 0, 0, 0, 0, 173, 99, 479
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_pagination.css", "CSS", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/partials/_single.css", "CSS", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/css/style.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/add.svg", "XML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 1, 50
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/flight.svg", "XML", 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 1, 152
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/logo.svg", "XML", 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 1, 74
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/logout.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/plane-return.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/plane.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/ticket copy.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/icons/ticket.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/images/slikaneka.png", "Image", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/javascripts/avio-app.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 7, 12
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/javascripts/modules/bling.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/public/javascripts/preventSubmit.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 6, 20
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/routes/admin.router.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/routes/index.js", "JavaScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 3, 18, 86
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/start.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 5, 28
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/variables.env", "Environment Variables", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/_searchForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/account.pug", "Pug", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/addCardForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/admin.pug", "Pug", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/allflightsList.pug", "Pug", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 15, 36
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/blog.pug", "Pug", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/blogs.pug", "Pug", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/changePassword.pug", "Pug", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 2, 15
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/editBlog.pug", "Pug", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/UserService/views/email/cancel-flight.pug", "Pug", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 9
